model,feature,accuracy,precision,recall,f1
Logistic Regression,TF-IDF,0.6871169775742474,0.6636813575300495,0.7586206896551724,0.7079824010056568
Random Forest,TF-IDF,0.7430803421105798,0.7048473152457714,0.8363415948275862,0.764984907287624
XGB_BOOST,TF-IDF,0.7528453094484477,0.7011358765537934,0.8813308189655172,0.7809739794700405
SimpleRnn,Deep Learning Approach,0.5222925543785095,0.5145341178536929,0.7891971982758621,0.6229333900377438
LSTM,Deep Learning Approach,0.7211745977401733,0.7411160058737152,0.6798221982758621,0.7091471125474217
BiLSTM,Deep Learning Approach,0.7223868370056152,0.7449554896142433,0.6763200431034483,0.708980513979102
Siamese,Dl approach,0.7097252011299133,0.6942850012478163,0.7494612068965517,0.7208187589065941
